                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0357,                 1.1187,                  1.197,                0.54278,                0.49568,                0.48724,                0.33702,                 1.2316,                 1.6007,                 1.3236,             0.00023649,             0.00023649,             0.00023649
                      2,                 1.0529,                 1.1646,                 1.2114,                0.48627,                0.41594,                0.41855,                0.28603,                 1.2548,                 1.7418,                 1.3288,              0.0004698,              0.0004698,              0.0004698
                      3,                 1.0745,                 1.2296,                 1.2235,                0.44169,                0.45545,                0.42056,                0.28825,                 1.2557,                 1.7418,                 1.3522,             0.00069839,             0.00069839,             0.00069839
                      4,                  1.098,                 1.3042,                 1.2429,                0.46921,                0.43739,                0.39991,                0.26414,                 1.2875,                 1.7862,                 1.3672,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.0715,                 1.2977,                 1.2261,                0.49815,                 0.4393,                0.42828,                0.28541,                 1.2804,                 1.7653,                 1.3603,             0.00068573,             0.00068573,             0.00068573
                      6,                  1.086,                 1.2719,                 1.2299,                0.49612,                0.45481,                0.43072,                0.29403,                  1.282,                 1.8515,                 1.3623,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0926,                 1.2865,                 1.2303,                0.52725,                0.44622,                 0.4366,                 0.2874,                 1.2788,                 1.8013,                 1.3426,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0772,                 1.2578,                 1.2197,                0.53239,                0.45897,                0.45754,                0.30771,                 1.2763,                 1.7112,                 1.3674,             0.00066452,             0.00066452,             0.00066452
                      9,                  1.091,                 1.2431,                  1.232,                0.49576,                0.46117,                0.42145,                0.28203,                 1.2775,                 1.8715,                 1.3681,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0794,                 1.1957,                 1.2249,                0.52748,                0.47882,                0.47847,                0.32111,                 1.2435,                 1.6195,                 1.3435,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.0369,                 1.2033,                 1.2021,                0.48768,                0.49288,                0.44124,                0.28986,                 1.2723,                 1.6772,                 1.3671,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0582,                 1.1748,                  1.214,                0.54131,                0.41947,                0.44746,                0.30726,                 1.2477,                 1.6618,                 1.3386,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.0726,                 1.1867,                 1.2179,                0.54826,                0.41868,                0.45544,                0.30858,                 1.2544,                 1.6879,                 1.3526,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0633,                 1.1514,                 1.2222,                0.50691,                 0.4265,                0.41928,                0.28661,                 1.2613,                 1.8059,                  1.348,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.0512,                 1.1564,                 1.2049,                0.48674,                0.49192,                0.45769,                0.30819,                 1.2848,                 1.7034,                  1.375,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0453,                 1.1245,                 1.2042,                0.54925,                0.46061,                0.47285,                0.31933,                 1.2466,                 1.5916,                 1.3461,             0.00060797,             0.00060797,             0.00060797
                     17,                   1.03,                 1.1205,                 1.2019,                0.54469,                0.44328,                0.44436,                0.30626,                  1.266,                 1.6655,                 1.3632,              0.0006009,              0.0006009,              0.0006009
                     18,                  1.035,                 1.0849,                 1.1998,                0.48653,                0.47286,                0.45243,                0.31778,                 1.2414,                 1.6883,                 1.3448,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.0263,                 1.0775,                 1.1987,                0.43999,                0.47716,                0.42245,                0.28865,                 1.2462,                 1.7829,                 1.3661,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.0536,                 1.0742,                 1.1956,                0.50701,                0.45618,                0.43973,                0.30228,                 1.2494,                 1.6544,                 1.3354,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0143,                 1.0434,                 1.1828,                0.52619,                0.46341,                0.46662,                0.31982,                 1.2523,                 1.5808,                 1.3413,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0359,                 1.0642,                 1.1874,                0.51649,                0.46872,                 0.4583,                0.31308,                 1.2662,                 1.6336,                 1.3439,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.0009,                  1.059,                 1.1849,                0.50789,                0.46894,                0.45681,                0.31187,                 1.2681,                  1.714,                 1.3488,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.0315,                 1.0458,                   1.19,                0.49911,                0.47633,                0.45536,                0.31287,                 1.2448,                 1.6633,                 1.3374,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.0109,                 1.0325,                 1.1811,                0.48979,                0.47296,                0.45337,                0.31508,                 1.2476,                 1.6916,                 1.3401,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.0125,                  1.039,                 1.1812,                0.51148,                 0.4724,                0.45343,                0.31256,                 1.2543,                 1.6789,                 1.3387,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0124,                 1.0033,                 1.1846,                0.54166,                0.44578,                0.45961,                0.31486,                 1.2539,                 1.6378,                 1.3503,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.9968,                0.98467,                 1.1724,                0.51725,                 0.4744,                0.45821,                0.31589,                 1.2577,                 1.6725,                  1.357,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0024,                0.96528,                 1.1649,                 0.5366,                0.44333,                0.46041,                0.31868,                 1.2616,                 1.6131,                 1.3643,             0.00051608,             0.00051608,             0.00051608
                     30,                0.98214,                0.97672,                 1.1636,                0.57862,                0.42107,                0.46121,                0.31805,                 1.2655,                 1.7277,                 1.3598,             0.00050901,             0.00050901,             0.00050901
                     31,                0.99041,                0.96346,                 1.1659,                0.51261,                0.47058,                0.45284,                0.30792,                 1.2681,                 1.6636,                 1.3473,             0.00050194,             0.00050194,             0.00050194
                     32,                0.98355,                0.95157,                 1.1591,                0.49346,                0.49423,                0.45739,                0.31038,                  1.265,                 1.6525,                 1.3551,             0.00049487,             0.00049487,             0.00049487
                     33,                0.97214,                 0.9757,                 1.1591,                0.56522,                0.46055,                0.47542,                0.33022,                 1.2532,                 1.6114,                 1.3593,              0.0004878,              0.0004878,              0.0004878
                     34,                0.97736,                0.93817,                 1.1626,                0.54073,                  0.464,                0.47067,                 0.3232,                 1.2579,                 1.6166,                 1.3546,             0.00048074,             0.00048074,             0.00048074
                     35,                0.97495,                0.96362,                 1.1633,                0.59657,                 0.4362,                0.47434,                0.32626,                 1.2655,                 1.6088,                 1.3588,             0.00047367,             0.00047367,             0.00047367
                     36,                0.99318,                0.94941,                 1.1689,                0.54998,                0.45664,                0.46699,                 0.3206,                 1.2569,                 1.6423,                 1.3551,              0.0004666,              0.0004666,              0.0004666
                     37,                0.99032,                0.94902,                 1.1645,                0.55454,                0.44389,                0.45919,                0.31327,                 1.2611,                  1.655,                  1.378,             0.00045953,             0.00045953,             0.00045953
                     38,                 0.9862,                0.93145,                 1.1635,                 0.5371,                0.47154,                0.45986,                0.31631,                 1.2485,                 1.6883,                 1.3535,             0.00045246,             0.00045246,             0.00045246
                     39,                  0.985,                0.93563,                 1.1615,                0.52652,                0.49617,                0.47918,                0.32784,                 1.2578,                  1.653,                 1.3569,             0.00044539,             0.00044539,             0.00044539
                     40,                0.99214,                0.92295,                 1.1594,                 0.5187,                0.48023,                0.46196,                0.32031,                  1.258,                  1.634,                 1.3597,             0.00043832,             0.00043832,             0.00043832
                     41,                0.97304,                0.90849,                 1.1564,                0.52644,                0.51149,                0.48509,                0.33325,                 1.2429,                 1.6268,                 1.3304,             0.00043126,             0.00043126,             0.00043126
                     42,                0.97122,                 0.8987,                 1.1482,                0.51679,                0.47444,                0.45349,                0.31339,                 1.2583,                 1.6947,                  1.357,             0.00042419,             0.00042419,             0.00042419
                     43,                0.97829,                0.90613,                 1.1539,                0.52902,                0.49647,                0.48437,                0.33482,                 1.2528,                 1.5976,                 1.3473,             0.00041712,             0.00041712,             0.00041712
                     44,                0.97445,                0.91241,                 1.1481,                0.53292,                0.44534,                0.45642,                0.31816,                 1.2493,                 1.6873,                 1.3507,             0.00041005,             0.00041005,             0.00041005
                     45,                0.95995,                0.89463,                 1.1445,                0.53343,                0.47829,                0.46876,                0.32613,                 1.2506,                  1.655,                 1.3519,             0.00040298,             0.00040298,             0.00040298
                     46,                0.95574,                0.86892,                 1.1417,                0.54424,                0.46165,                0.46991,                0.32636,                 1.2642,                 1.6766,                 1.3681,             0.00039591,             0.00039591,             0.00039591
                     47,                0.94552,                0.85597,                 1.1293,                0.57391,                0.44773,                0.46833,                0.32568,                 1.2432,                 1.6687,                 1.3549,             0.00038884,             0.00038884,             0.00038884
                     48,                0.95835,                0.86477,                 1.1429,                0.57207,                0.45925,                0.47927,                0.33464,                 1.2367,                 1.6532,                 1.3452,             0.00038178,             0.00038178,             0.00038178
                     49,                0.94398,                0.85237,                 1.1398,                0.58466,                 0.4231,                0.46538,                0.32442,                 1.2447,                 1.6652,                 1.3517,             0.00037471,             0.00037471,             0.00037471
                     50,                0.95538,                0.86167,                 1.1428,                0.50933,                0.48016,                0.45455,                 0.3163,                 1.2483,                 1.6896,                 1.3442,             0.00036764,             0.00036764,             0.00036764
                     51,                0.94715,                0.85353,                 1.1342,                0.53864,                0.46643,                0.47262,                 0.3308,                 1.2312,                 1.6203,                 1.3431,             0.00036057,             0.00036057,             0.00036057
                     52,                0.95873,                 0.8447,                 1.1275,                0.54702,                0.47105,                0.47179,                0.33175,                 1.2436,                   1.66,                 1.3462,              0.0003535,              0.0003535,              0.0003535
                     53,                0.94572,                0.82662,                 1.1272,                0.54932,                  0.475,                0.48395,                0.33988,                 1.2474,                 1.6649,                 1.3506,             0.00034643,             0.00034643,             0.00034643
                     54,                0.93688,                0.82505,                 1.1239,                0.52583,                   0.48,                0.46576,                0.32249,                 1.2585,                 1.7027,                 1.3571,             0.00033936,             0.00033936,             0.00033936
                     55,                0.92757,                0.81835,                 1.1271,                0.51304,                0.49924,                0.47846,                0.33327,                  1.248,                 1.6137,                 1.3519,              0.0003323,              0.0003323,              0.0003323
                     56,                0.93143,                0.81896,                 1.1248,                0.54932,                0.46886,                0.46863,                0.32746,                 1.2508,                 1.6608,                 1.3552,             0.00032523,             0.00032523,             0.00032523
                     57,                0.93688,                0.79938,                  1.122,                0.51923,                0.49157,                0.46403,                0.32813,                 1.2326,                 1.6592,                 1.3472,             0.00031816,             0.00031816,             0.00031816
                     58,                0.93134,                0.80677,                 1.1219,                0.49706,                0.50186,                0.47038,                0.32939,                 1.2465,                 1.6657,                  1.355,             0.00031109,             0.00031109,             0.00031109
                     59,                0.90896,                0.78357,                  1.113,                0.54558,                0.46933,                0.47126,                0.33348,                 1.2525,                 1.6811,                 1.3529,             0.00030402,             0.00030402,             0.00030402
                     60,                0.92792,                0.79821,                 1.1212,                0.51825,                0.49184,                0.47015,                0.32814,                 1.2541,                 1.7212,                  1.348,             0.00029695,             0.00029695,             0.00029695
                     61,                0.90512,                0.78804,                 1.1153,                0.52361,                0.49982,                0.47323,                0.33445,                 1.2395,                 1.6614,                 1.3477,             0.00028988,             0.00028988,             0.00028988
                     62,                0.92939,                0.77992,                 1.1137,                0.55556,                0.45399,                0.46683,                0.32698,                 1.2584,                 1.7267,                 1.3645,             0.00028282,             0.00028282,             0.00028282
                     63,                0.90013,                0.76752,                 1.1118,                0.56206,                0.46063,                0.47225,                0.32703,                 1.2477,                 1.6709,                 1.3566,             0.00027575,             0.00027575,             0.00027575
                     64,                0.92198,                0.77825,                 1.1199,                0.54288,                0.46117,                0.47093,                0.32912,                 1.2585,                 1.6882,                 1.3662,             0.00026868,             0.00026868,             0.00026868
                     65,                0.90722,                0.75772,                  1.103,                0.53183,                 0.4798,                0.47194,                0.33008,                 1.2428,                 1.6789,                 1.3532,             0.00026161,             0.00026161,             0.00026161
                     66,                0.90017,                0.75991,                 1.1048,                 0.5525,                0.47218,                0.47872,                0.33199,                 1.2556,                 1.6629,                 1.3666,             0.00025454,             0.00025454,             0.00025454
                     67,                0.87974,                0.74005,                 1.1006,                0.56159,                0.47554,                  0.477,                0.33367,                  1.256,                 1.6742,                 1.3568,             0.00024747,             0.00024747,             0.00024747
                     68,                0.89212,                0.75161,                 1.1022,                 0.5363,                0.49579,                0.48527,                0.33696,                  1.248,                 1.6475,                 1.3683,              0.0002404,              0.0002404,              0.0002404
                     69,                0.89675,                0.74181,                 1.0997,                0.53544,                0.49172,                0.48436,                 0.3364,                  1.257,                 1.6727,                 1.3774,             0.00023334,             0.00023334,             0.00023334
                     70,                0.89118,                0.72945,                 1.0932,                0.55003,                0.48551,                0.48275,                0.33693,                 1.2465,                 1.6673,                 1.3696,             0.00022627,             0.00022627,             0.00022627
                     71,                0.89645,                 0.7313,                  1.097,                0.53706,                0.49188,                0.47988,                0.33586,                 1.2505,                 1.6876,                 1.3562,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.8806,                0.73056,                 1.0943,                0.55264,                0.49068,                0.48016,                 0.3343,                  1.259,                 1.7369,                 1.3687,             0.00021213,             0.00021213,             0.00021213
                     73,                0.88525,                0.71782,                 1.0898,                0.55319,                0.45206,                0.46502,                0.32745,                 1.2512,                  1.738,                 1.3561,             0.00020506,             0.00020506,             0.00020506
                     74,                 0.8832,                0.71623,                 1.0962,                 0.5686,                0.46998,                0.47844,                0.33742,                 1.2353,                 1.7224,                 1.3505,             0.00019799,             0.00019799,             0.00019799
                     75,                0.89947,                0.72054,                 1.0991,                0.56208,                0.47651,                0.47788,                0.33565,                 1.2529,                 1.6707,                 1.3592,             0.00019092,             0.00019092,             0.00019092
                     76,                0.86103,                0.70147,                 1.0853,                0.53932,                0.49294,                  0.474,                0.33197,                 1.2609,                 1.7331,                 1.3689,             0.00018385,             0.00018385,             0.00018385
                     77,                0.86436,                0.70321,                 1.0838,                0.60029,                0.44313,                0.47186,                0.33066,                 1.2592,                 1.7014,                 1.3661,             0.00017679,             0.00017679,             0.00017679
                     78,                0.85915,                0.70187,                 1.0874,                0.53829,                0.48857,                0.47546,                0.33169,                 1.2525,                 1.7035,                  1.369,             0.00016972,             0.00016972,             0.00016972
                     79,                0.85692,                0.69569,                 1.0783,                0.52655,                0.49059,                0.47194,                0.32937,                 1.2548,                  1.696,                 1.3704,             0.00016265,             0.00016265,             0.00016265
                     80,                0.87924,                0.70774,                  1.086,                0.56616,                0.45242,                0.46702,                0.32534,                 1.2485,                  1.754,                 1.3711,             0.00015558,             0.00015558,             0.00015558
                     81,                0.86856,                0.68812,                 1.0846,                0.57615,                0.45995,                0.46477,                0.32494,                 1.2502,                 1.7566,                 1.3596,             0.00014851,             0.00014851,             0.00014851
                     82,                0.86072,                0.68932,                 1.0809,                0.54542,                0.49151,                0.47822,                0.33608,                 1.2341,                 1.7267,                 1.3558,             0.00014144,             0.00014144,             0.00014144
                     83,                0.86972,                0.68625,                 1.0852,                0.55545,                0.46719,                 0.4713,                0.32973,                 1.2473,                 1.7494,                 1.3617,             0.00013437,             0.00013437,             0.00013437
                     84,                  0.855,                0.67124,                 1.0828,                0.53328,                0.47341,                0.45867,                0.32022,                 1.2539,                 1.7907,                 1.3682,             0.00012731,             0.00012731,             0.00012731
                     85,                0.84784,                0.67608,                 1.0819,                0.53216,                0.48063,                0.46497,                0.32719,                 1.2528,                 1.8133,                 1.3685,             0.00012024,             0.00012024,             0.00012024
                     86,                0.83353,                0.66402,                 1.0768,                0.55409,                0.46446,                0.46371,                0.32511,                 1.2559,                 1.7925,                 1.3677,             0.00011317,             0.00011317,             0.00011317
                     87,                0.85376,                0.66828,                 1.0782,                0.53428,                0.48023,                0.46831,                0.32724,                  1.256,                 1.7901,                 1.3602,              0.0001061,              0.0001061,              0.0001061
                     88,                0.84804,                0.66669,                 1.0774,                0.57009,                0.44993,                0.46735,                0.32713,                 1.2582,                 1.7677,                 1.3689,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.84615,                0.65708,                 1.0698,                0.53907,                0.46863,                0.46499,                 0.3268,                 1.2522,                 1.8069,                 1.3675,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.84801,                0.66065,                 1.0727,                 0.5688,                0.45836,                0.47432,                0.33286,                 1.2456,                 1.7597,                 1.3549,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.82657,                0.62064,                 1.0543,                0.54155,                0.46668,                0.46013,                0.32233,                 1.2664,                 1.7345,                 1.3889,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.81029,                0.56302,                 1.0479,                0.54884,                0.47036,                0.46297,                0.32985,                 1.2653,                 1.7712,                 1.3744,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.81193,                0.56217,                  1.044,                0.56352,                0.46199,                0.46888,                0.33266,                 1.2581,                 1.7519,                 1.3689,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.80912,                0.54939,                 1.0329,                0.57523,                0.46015,                0.47245,                0.33311,                 1.2578,                  1.747,                 1.3675,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 0.7997,                0.53947,                 1.0291,                0.54542,                 0.4816,                0.47279,                0.33657,                 1.2566,                 1.7796,                 1.3674,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.80179,                0.53727,                 1.0332,                0.55613,                0.47611,                0.47054,                0.33441,                 1.2578,                 1.7826,                  1.365,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.79701,                0.52969,                 1.0336,                0.58895,                0.45982,                0.47538,                0.33724,                  1.261,                 1.7626,                 1.3721,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.79836,                0.53424,                 1.0286,                0.56401,                 0.4716,                0.47405,                0.33406,                 1.2592,                 1.7813,                 1.3686,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.78753,                0.52702,                  1.024,                0.55057,                0.47972,                0.47399,                0.33504,                 1.2619,                 1.7832,                 1.3706,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.7856,                0.52144,                 1.0249,                0.54767,                 0.4848,                0.47368,                0.33387,                 1.2632,                 1.7898,                 1.3736,             1.4209e-05,             1.4209e-05,             1.4209e-05
